Year,Date,Management,Treatment,Average LH,Crude Protein,Crude Fat,RFV,Dry Weight
2021,Jun-21,BAU/Weed,BAU,0.08,22.55,2.33,146.67,2.1
2021,Jul-21,BAU/Weed,BAU,0.21,22.45,1.93,139.67,3.14
2020,Jun-20,BAU/Weed,BAU,0.79,21.2,4.4,120.5,2.27
2019,Jun-19,BAU/Weed,BAU,0.58,18.7,4.37,111,1.05
2019,Aug-19,BAU/Weed,BAU,0.1,22.9,4.97,122,2.09
2018,Jul-18,Pest,BAU,0.35,24.36,4.65,137.75,2.21
