Date,Average LH,Crude Protein,RFV,Dry Weight
Jun-22,0.47,21.13,197,1.19
Jul-22,0.07,24.97,161.83,1.28
Aug-22,0.11,27.3,166.17,0.77
Jun-21,0.43,22.61,142.09,1.7
Jul-21,0.23,23.49,150.91,2.55
Jun-20,1.29,19.3,103.5,2.03
Jun-19,0.74,18.93,111,0.95
Aug-19,0.1,22,117.67,2.03
Jul-18,0.66,23.48,130.4,2.09
