Average LH,Crude Protein,RFV,Dry Weight
0.10,22.72,189.67,1.37
0.06,23.02,152.00,1.30
0.08,25.98,148.17,0.83
0.08,22.55,146.67,2.1
0.21,22.45,139.67,3.14
0.79,21.2,120.5,2.27
0.58,18.7,111,1.05
0.1,22.9,122,2.09
0.35,24.36,137.75,2.21
